kind,rank,world_size,size,latency,average_throughput,total_throughput
minio,0,1,1B,0.11857461929321289,745.252173741109,745.252173741109
minio,0,1,1KB,0.0015151500701904297,753828.3009865059,753828.3009865059
minio,0,1,1MB,0.0028324127197265625,495822219.31958526,495822219.31958526
minio,0,1,10MB,0.011981964111328125,1033918188.997517,1033918188.997517
minio,0,1,100MB,0.10058999061584473,1038817009.2400191,1038817009.2400191
minio,0,1,1GB,0.9164433479309082,1053422872.7061166,1053422872.7061166
pfs,0,1,1B,0.004961729049682617,1640.7283066688997,1640.7283066688997
pfs,0,1,1KB,0.0027611255645751953,1768029.4341709774,1768029.4341709774
pfs,0,1,1MB,0.032683610916137695,872950169.0904133,872950169.0904133
pfs,0,1,10MB,0.13718962669372559,1914314080.520718,1914314080.520718
pfs,0,1,100MB,0.23095297813415527,1105563226.3684945,1105563226.3684945
pfs,0,1,1GB,1.1868689060211182,1125740543.624295,1125740543.624295
minio,0,2,1B,0.014484882354736328,758.3129121387461,1519.4091438301673
minio,1,2,1B,0.014538288116455078,761.0962316914213,1519.4091438301673
minio,0,2,1KB,0.0012812614440917969,766119.8349660705,1529206.3900425695
minio,1,2,1KB,0.00152587890625,763086.555076499,1529206.3900425695
minio,0,2,1MB,0.003003358840942383,497542611.7390789,999685155.1714544
minio,1,2,1MB,0.002750396728515625,502142543.43237555,999685155.1714544
minio,1,2,10MB,0.011391401290893555,1020093926.8051921,2042187711.0065062
minio,0,2,10MB,0.011627674102783203,1022093784.2013141,2042187711.0065062
minio,1,2,100MB,0.0973360538482666,1024224512.6283755,2048449025.256751
minio,0,2,100MB,0.09661126136779785,1024224512.6283755,2048449025.256751
minio,1,2,1GB,0.9241883754730225,1059392479.9856914,2118784959.9713829
minio,0,2,1GB,0.9236321449279785,1059392479.9856914,2118784959.9713829
pfs,0,2,1B,0.0014910697937011719,1943.1090689844932,3918.2346794489044
pfs,1,2,1B,0.0013964176177978516,1975.1256104644112,3918.2346794489044
pfs,0,2,1KB,0.003491640090942383,1950860.542568252,3930487.661499768
pfs,1,2,1KB,0.003444194793701172,1979627.118931516,3930487.661499768
pfs,0,2,1MB,0.21364235877990723,879799438.3349732,1763465467.6205935
pfs,1,2,1MB,0.2138667106628418,883666029.2856203,1763465467.6205935
pfs,0,2,10MB,0.10127472877502441,1729989328.802764,3484309496.8315372
pfs,1,2,10MB,0.1011190414428711,1754320168.0287733,3484309496.8315372
pfs,0,2,100MB,0.0971519947052002,1110281575.6407273,2220563151.2814546
pfs,1,2,100MB,0.0968773365020752,1110281575.6407273,2220563151.2814546
pfs,0,2,1GB,0.8848507404327393,1103743405.8735082,2207486811.7470164
pfs,1,2,1GB,0.8834428787231445,1103743405.8735082,2207486811.7470164
minio,0,4,1B,0.029750585556030273,769.7758759435592,3070.303589025537
minio,2,4,1B,0.029984235763549805,770.8758652871467,3070.303589025537
minio,1,4,1B,0.029419898986816406,761.3092912989767,3070.303589025537
minio,3,4,1B,0.02967524528503418,768.3425564958543,3070.303589025537
minio,3,4,1KB,0.001352548599243164,766371.9043661869,3075204.1392281274
minio,0,4,1KB,0.001491546630859375,768638.5372303715,3075204.1392281274
minio,2,4,1KB,0.0014081001281738281,770605.1745684141,3075204.1392281274
minio,1,4,1KB,0.0012848377227783203,769588.5230631548,3075204.1392281274
minio,0,4,1MB,0.0028891563415527344,463617692.6207131,1857004018.3539557
minio,2,4,1MB,0.0025959014892578125,465117642.01807684,1857004018.3539557
minio,3,4,1MB,0.003017425537109375,463551028.2030525,1857004018.3539557
minio,1,4,1MB,0.0026581287384033203,464717655.51211315,1857004018.3539557
minio,1,4,10MB,0.011336088180541992,984709498.3808011,3945670467.619263
minio,0,4,10MB,0.010721445083618164,986709246.8967208,3945670467.619263
minio,2,4,10MB,0.010612964630126953,988375703.9933206,3945670467.619263
minio,3,4,10MB,0.011985063552856445,985876018.3484209,3945670467.619263
minio,1,4,100MB,0.10085701942443848,997426349.1300402,3989705396.5201607
minio,0,4,100MB,0.10022306442260742,997426349.1300402,3989705396.5201607
minio,2,4,100MB,0.10064840316772461,997426349.1300402,3989705396.5201607
minio,3,4,100MB,0.1009824275970459,997426349.1300402,3989705396.5201607
minio,1,4,1GB,0.9785060882568359,1028579420.6628743,4114317682.6514974
minio,0,4,1GB,0.9804482460021973,1028579420.6628743,4114317682.6514974
minio,2,4,1GB,0.9791855812072754,1028579420.6628743,4114317682.6514974
minio,3,4,1GB,0.9799931049346924,1028579420.6628743,4114317682.6514974
pfs,3,4,1B,0.0017192363739013672,1958.753240325691,7882.6626346864505
pfs,1,4,1B,0.0017466545104980469,1991.1696847927321,7882.6626346864505
pfs,0,4,1B,0.0016865730285644531,1965.753192344281,7882.6626346864505
pfs,2,4,1B,0.0017576217651367188,1966.9865172237467,7882.6626346864505
pfs,1,4,1KB,0.0017609596252441406,2000370.4881401507,7980098.756537475
pfs,0,4,1KB,0.00212860107421875,2005753.786905131,7980098.756537475
pfs,2,4,1KB,0.0017902851104736328,2001170.483003058,7980098.756537475
pfs,3,4,1KB,0.00214385986328125,1972803.9984891352,7980098.756537475
pfs,1,4,1MB,0.006014347076416016,861086104.6843882,3423444755.9946613
pfs,0,4,1MB,0.00575566291809082,859836124.8552679,3423444755.9946613
pfs,2,4,1MB,0.005964517593383789,857236166.8106977,3423444755.9946613
pfs,3,4,1MB,0.006094694137573242,845286359.6443076,3423444755.9946613
pfs,3,4,10MB,0.1484088897705078,1548743858.071357,6220140645.087405
pfs,1,4,10MB,0.14798760414123535,1558576623.3383548,6220140645.087405
pfs,2,4,10MB,0.14818716049194336,1556743395.9156942,6220140645.087405
pfs,0,4,10MB,0.14858222007751465,1556076767.7619994,6220140645.087405
pfs,3,4,100MB,0.2755608558654785,1047100786.4801985,4190067853.053513
pfs,1,4,100MB,0.27521514892578125,1047100786.4801985,4190067853.053513
pfs,0,4,100MB,0.27623748779296875,1047100786.4801985,4190067853.053513
pfs,2,4,100MB,0.27523016929626465,1048765493.6129174,4190067853.053513
pfs,1,4,1GB,0.9502532482147217,1025382941.7970564,4101531767.1882257
pfs,0,4,1GB,0.9525892734527588,1025382941.7970564,4101531767.1882257
pfs,2,4,1GB,0.95054030418396,1025382941.7970564,4101531767.1882257
pfs,3,4,1GB,0.9512679576873779,1025382941.7970564,4101531767.1882257
minio,1,8,1B,0.10386037826538086,768.3474837969117,6171.962574987178
minio,3,8,1B,0.10376405715942383,764.3809161611548,6171.962574987178
minio,0,8,1B,0.10289955139160156,772.3640501843798,6171.962574987178
minio,2,8,1B,0.10338354110717773,777.6472516151989,6171.962574987178
minio,5,8,1B,0.10296845436096191,778.9305529091203,6171.962574987178
minio,6,8,1B,0.10325980186462402,772.4807139383727,6171.962574987178
minio,4,8,1B,0.10245299339294434,769.2474613277136,6171.962574987178
minio,7,8,1B,0.10310888290405273,768.5641450543269,6171.962574987178
minio,1,8,1KB,0.0015606880187988281,766984.9869090497,6198095.344123581
minio,5,8,1KB,0.001430511474609375,779101.416406722,6198095.344123581
minio,3,8,1KB,0.0015566349029541016,775384.8224892792,6198095.344123581
minio,0,8,1KB,0.0014827251434326172,768668.287293183,6198095.344123581
minio,6,8,1KB,0.0014960765838623047,774584.838148305,6198095.344123581
